,lat,long,alcaldia,target
50415,19.41179,-99.155599,CUAUHTEMOC,Si
50491,19.436738000000002,-99.126499,CUAUHTEMOC,Si
50516,19.414845,-99.17071899999999,CUAUHTEMOC,Si
50536,19.425295000000002,-99.166703,CUAUHTEMOC,Si
50560,19.42681,-99.172496,CUAUHTEMOC,Si
50562,19.4072,-99.14555,CUAUHTEMOC,Si
50583,19.453260999999998,-99.161434,CUAUHTEMOC,Si
50585,19.42877,-99.173142,CUAUHTEMOC,Si
50600,19.442616,-99.136045,CUAUHTEMOC,Si
50606,19.434722,-99.12423100000001,CUAUHTEMOC,Si
50693,19.44836,-99.13538,CUAUHTEMOC,Si
50697,19.424269,-99.15370899999999,CUAUHTEMOC,Si
50736,19.45701,-99.128153,CUAUHTEMOC,Si
50758,19.43609,-99.148309,CUAUHTEMOC,Si
50820,19.406423999999998,-99.158315,CUAUHTEMOC,Si
50826,19.412699,-99.166247,CUAUHTEMOC,Si
50986,19.45175,-99.15234,CUAUHTEMOC,Si
50997,19.405773,-99.136275,CUAUHTEMOC,Si
51106,19.42513,-99.1624,CUAUHTEMOC,Si
51164,19.41321,-99.14401,CUAUHTEMOC,Si
51212,19.45315,-99.13076,CUAUHTEMOC,Si
51242,19.433976,-99.13403100000001,CUAUHTEMOC,Si
51254,19.435477,-99.165786,CUAUHTEMOC,Si
51273,19.42726,-99.14611,CUAUHTEMOC,Si
51277,19.42295,-99.12606,CUAUHTEMOC,Si
