evento,lat,lon,dia,hora
CAIDA DE PASAJERO,19.429882,-99.114876,martes,17
CHOQUE,19.35905,-99.2185,martes,15
CHOQUE,19.42628,-99.12549,martes,16
CHOQUE,19.34107,-99.13749,martes,18
ATROPELLADO,19.33279,-99.2749,miércoles,6
CAIDA DE CICLISTA,19.55478,-99.12867,miércoles,22
CHOQUE,19.40056,-99.17037,miércoles,10
CHOQUE,19.38562,-99.15907,miércoles,10
CHOQUE,19.45732,-99.1584,miércoles,11
CHOQUE,19.39424,-99.13971,miércoles,16
CHOQUE,19.48445,-99.14319,miércoles,18
CHOQUE,19.4173,-99.10239,miércoles,19
DERRAPADO,19.29145,-99.17462,miércoles,12
DERRAPADO,19.35822,-99.16352,miércoles,15
DERRAPADO,19.39872,-99.06029,miércoles,16
CHOQUE,19.360627,-99.110597,jueves,13
CHOQUE,19.40293,-99.1603,jueves,14
CHOQUE,19.37627,-99.16987,jueves,15
CHOQUE,19.40113,-99.06446,jueves,15
CHOQUE,19.38091,-99.20337,jueves,18
CHOQUE,19.5047,-99.16292,jueves,19
DERRAPADO,19.39788,-99.16869,jueves,17
VOLCADURA,19.39087,-99.04533,jueves,21
ATROPELLADO,19.44573,-99.10288,viernes,17
CHOQUE,19.31668,-99.10663,viernes,14
CHOQUE,19.23168,-99.12175,viernes,15
CHOQUE,19.383385,-99.065865,viernes,16
CHOQUE,19.28784,-99.00062,viernes,19
ATROPELLADO,19.30978,-99.04317,sábado,16
ATROPELLADO,19.45888,-99.09832,sábado,18
CAIDA DE CICLISTA,19.42355,-99.17407,sábado,12
CAIDA DE CICLISTA,19.42952,-99.16139,sábado,20
CAIDA DE PASAJERO,19.49021,-99.1047,sábado,20
CHOQUE,19.37657,-99.1079,sábado,2
CHOQUE,19.37168,-99.08024,sábado,3
CHOQUE,19.42941,-99.13476,sábado,12
CHOQUE,19.44733,-99.10956,sábado,14
CHOQUE,19.306242,-99.164619,sábado,19
CHOQUE,19.362056,-99.205781,sábado,20
DERRAPADO,19.44327,-99.19659,sábado,4
DERRAPADO,19.37573,-99.18673,sábado,13
DERRAPADO,19.47666,-99.09197,sábado,16
DERRAPADO,19.29523,-99.06793,sábado,16
DERRAPADO,19.44897,-99.06017,sábado,21
ATROPELLADO,19.433548,-99.127786,domingo,10
CAIDA DE CICLISTA,19.435,-99.1504,domingo,11
CHOQUE,19.292693,-99.178158,domingo,0
CHOQUE,19.395451,-99.137641,domingo,1
CHOQUE,19.509481,-99.090802,domingo,13
CHOQUE,19.42796,-99.16112,domingo,15
CHOQUE,19.41277,-99.09085,domingo,18
DERRAPADO,19.382248,-99.200529,domingo,13
ATROPELLADO,19.36118,-99.07446,lunes,13
ATROPELLADO,19.36626,-99.16754,lunes,19
CHOQUE,19.446422,-99.174857,lunes,0
CHOQUE,19.42786,-99.2032,lunes,5
CHOQUE,19.35032,-99.00741,lunes,8
CHOQUE,19.38319,-99.15952,lunes,9
CHOQUE,19.31945,-99.13859,lunes,13
CHOQUE,19.393772,-99.104195,lunes,17
DERRAPADO,19.3535,-99.06106,lunes,0
DERRAPADO,19.37902,-99.14674,lunes,16
DERRAPADO,19.4306,-99.15992,lunes,20
CAIDA DE CICLISTA,19.44803,-99.08896,martes,0
CAIDA DE CICLISTA,19.46617,-99.13408,martes,15
CHOQUE,19.36787,-99.18085,martes,11
